source,medium,campaign,users,events
google,organic,(organic),103487,1323449
(direct),(none),(direct),75951,989684
<Other>,<Other>,<Other>,51036,597472
<Other>,referral,(referral),32879,412232
shop.googlemerchandisestore.com,referral,(referral),26065,365774
(data deleted),(data deleted),(data deleted),17638,300748
google,cpc,<Other>,15527,176963
<Other>,organic,(organic),10095,115950
(data deleted),(data deleted),<Other>,466,7876
<Other>,(data deleted),(data deleted),393,5293
(data deleted),referral,(referral),3,71
<Other>,referral,<Other>,1,10
<Other>,cpc,<Other>,1,52
google,<Other>,<Other>,1,6
<Other>,<Other>,(data deleted),1,4