event_date,purchase_events,purchasing_users,total_revenue
20201101,14,13,773.0
20201102,49,39,4789.0
20201103,49,46,3313.0
20201104,46,30,2197.0
20201105,26,26,1792.0
20201106,58,48,3438.0
20201107,31,28,2531.0
20201108,32,31,3760.0
20201109,52,40,2154.0
20201110,64,64,4041.0
20201111,64,63,4428.0
20201112,54,51,3349.0
20201113,79,66,5831.0
20201114,30,29,2338.0
20201115,21,21,1483.0
20201116,69,68,5046.0
20201117,98,85,6227.0
20201118,68,49,4575.0
20201119,84,44,5752.0
20201120,118,64,8792.0
20201121,68,35,4336.0
20201122,60,29,3428.0
20201123,141,62,8482.0
20201124,147,96,10345.0
20201125,108,84,8121.0
20201126,57,54,4133.0
20201127,97,89,6699.0
20201128,78,73,6255.0
20201129,51,48,3862.0
20201130,141,126,11990.0
20201201,107,98,6258.0
20201202,82,74,5201.0
20201203,90,86,4317.0
20201204,96,85,6458.0
20201205,87,76,6396.0
20201206,42,40,2328.0
20201207,110,89,8472.0
20201208,122,110,8695.0
20201209,150,126,10863.0
20201210,143,126,10756.0
20201211,160,145,10400.0
20201212,106,99,6284.0
20201213,74,62,4395.0
20201214,99,84,8505.0
20201215,139,115,9738.0
20201216,143,115,11509.0
20201217,126,88,6745.0
20201218,107,79,6624.0
20201219,52,40,2782.0
20201220,20,19,1399.0
20201221,53,48,3429.0
20201222,60,56,3230.0
20201223,67,53,4418.0
20201224,23,22,1192.0
20201225,17,17,552.0
20201226,17,16,734.0
20201227,20,20,1161.0
20201228,36,32,2097.0
20201229,24,22,1418.0
20201230,37,21,1604.0
20201231,25,22,2595.0
20210101,14,12,975.0
20210102,14,14,1026.0
20210103,14,14,552.0
20210104,16,16,834.0
20210105,29,27,1143.0
20210106,31,28,2000.0
20210107,26,25,1452.0
20210108,34,34,1699.0
20210109,20,18,1363.0
20210110,14,14,974.0
20210111,28,26,1496.0
20210112,48,43,2547.0
20210113,36,34,1858.0
20210114,54,47,3274.0
20210115,47,38,2071.0
20210116,27,23,1461.0
20210117,14,14,481.0
20210118,19,18,1223.0
20210119,49,47,3756.0
20210120,96,94,6706.0
20210121,52,49,4206.0
20210122,100,86,5552.0
20210123,43,42,2747.0
20210124,36,35,2408.0
20210125,61,58,3353.0
20210126,55,51,1259.0
20210127,54,49,457.0
20210128,69,56,128.0
20210129,54,51,190.0
20210130,31,28,159.0
20210131,19,17,0.0